Version,Family,Scientific name,Previously,As of the stated version,Date
1.7,Asteraceae,Arnica amplexicaulis,Accepted (terminal),Synonym of Arnica lanceolata ssp. prisca,5/9/2017
1.7,Asteraceae,Arnica lanceolata ssp. prisca,Under evaluation,Accepted,5/9/2017
1.7,Asteraceae,Artemisia estesii,Under evaluation,Accepted (terminal),5/9/2017
1.7,Asteraceae,Carduus crispus,Under evaluation,Accepted (terminal),5/9/2017
1.7,Asteraceae,Erigeron aureus,Under evaluation,Accepted (terminal),5/9/2017
1.7,Asteraceae,Gnaphalium californicum,Accepted (terminal),Synonym of Pseudognaphalium californicum,5/9/2017
1.7,Asteraceae,Gnaphalium macounii,Accepted (terminal),Synonym of Pseudognaphalium macounii,5/9/2017
1.7,Asteraceae,Gnaphalium stramineum,Accepted (terminal),Synonym of Pseudognaphalium stramineum,5/9/2017
1.7,Asteraceae,Grindelia integrifolia × Grindelia nana,Under evaluation,Accepted,5/9/2017
1.7,Asteraceae,Leontodon autumnalis,Excluded,Accepted (not terminal),5/9/2017
1.7,Asteraceae,Leontodon autumnalis var. pratensis,Under evaluation,Accepted,5/9/2017
1.7,Asteraceae,Nabalus hastatus,Synonym of Prenanthes alata,Accepted (terminal),5/9/2017
1.7,Asteraceae,Prenanthes alata,Accepted (terminal),Synonym of Nabalus hastatus,5/9/2017
1.7,Asteraceae,Pseudognaphalium californicum,Synonym of Gnaphalium californicum,Accepted (terminal),5/9/2017
1.7,Asteraceae,Pseudognaphalium macounii,Synonym of Gnaphalium macounii,Accepted (terminal),5/9/2017
1.7,Asteraceae,Pseudognaphalium stramineum,Synonym of Gnaphalium stramineum,Accepted (terminal),5/9/2017
1.7,Boraginaceae,Anchusa arvensis,Accepted (terminal),Synonym of Lycopsis arvensis,5/9/2017
1.7,Boraginaceae,Hackelia mundula,Excluded,Accepted (terminal),5/9/2017
1.7,Boraginaceae,Lycopsis arvensis,Under evaluation,Accepted (terminal),5/9/2017
1.7,Boraginaceae,Mertensia brachycalyx,Under evaluation,Accepted (terminal),5/9/2017
1.7,Boraginaceae,Mertensia paniculata,Accepted,Synonym/Accepted,5/9/2017
1.7,Boraginaceae,Mertensia paniculata var. borealis,Accepted,Synonym/Accepted,5/9/2017
1.7,Brassicaceae,Abdra brachycarpa,Under evaluation,Accepted (terminal),5/9/2017
1.7,Brassicaceae,Alyssum corsicum,Accepted (terminal),Excluded,5/9/2017
1.7,Brassicaceae,Alyssum murale,Accepted (terminal),Synonym of Odontarrhena muralis,5/9/2017
1.7,Brassicaceae,Arabis pycnocarpa,Accepted (not terminal),Accepted (terminal),5/9/2017
1.7,Brassicaceae,Arabis pycnocarpa var. pycnocarpa,Accepted,Synonym of Arabis pycnocarpa,5/9/2017
1.7,Brassicaceae,Boechera polyantha,Accepted (terminal),Excluded,5/9/2017
1.7,Brassicaceae,Cakile maritima,Accepted (terminal),Accepted (not terminal),5/9/2017
1.7,Brassicaceae,Cakile maritima ssp. maritima,Under evaluation,Accepted,5/9/2017
1.7,Brassicaceae,Cardamine hirsuta × Cardamine oligosperma,Accepted,Excluded,5/9/2017
1.7,Brassicaceae,Cardamine nuttallii,Accepted (not terminal),Accepted (terminal),5/9/2017
1.7,Brassicaceae,Cardamine nuttallii var. gemmata,Accepted,Synonym of Cardamine nuttallii,5/9/2017
1.7,Brassicaceae,Cardamine nuttallii var. nuttallii,Accepted,Synonym of Cardamine nuttallii,5/9/2017
1.7,Brassicaceae,Caulanthus crassicaulis,Accepted (not terminal),Accepted (terminal),5/9/2017
1.7,Brassicaceae,Caulanthus crassicaulis var. crassicaulis,Accepted,Synonym of Caulanthus crassicaulis,5/9/2017
1.7,Brassicaceae,Caulanthus crassicaulis var. glaber,Accepted,Synonym of Caulanthus crassicaulis,5/9/2017
1.7,Brassicaceae,Caulanthus lasiophyllus,Accepted (terminal),Synonym of Guillenia lasiophylla,5/9/2017
1.7,Brassicaceae,Caulanthus major,Accepted (not terminal),Accepted (terminal),5/9/2017
1.7,Brassicaceae,Caulanthus major var. nevadensis,Accepted,Synonym of Caulanthus major,5/9/2017
1.7,Brassicaceae,Descurainia incana,Excluded,Accepted (terminal),5/9/2017
1.7,Brassicaceae,Descurainia pinnata,Accepted (not terminal),Accepted (terminal),5/9/2017
1.7,Brassicaceae,Descurainia pinnata ssp. brachycarpa,Accepted,Synonym of Descurainia pinnata,5/9/2017
1.7,Brassicaceae,Descurainia pinnata ssp. halictorum,Accepted,Synonym of Descurainia pinnata,5/9/2017
1.7,Brassicaceae,Descurainia pinnata ssp. intermedia,Accepted,Synonym of Descurainia pinnata,5/9/2017
1.7,Brassicaceae,Draba brachycarpa,Accepted (terminal),Synonym of Abdra brachycarpa,5/9/2017
1.7,Brassicaceae,Draba cana,Excluded,Accepted (terminal),5/9/2017
1.7,Brassicaceae,Draba cusickii,Accepted (not terminal),Accepted (terminal),5/9/2017
1.7,Brassicaceae,Draba cusickii var. cusickii,Accepted,Synonym of Draba cusickii,5/9/2017
1.7,Brassicaceae,Draba incerta,Accepted (not terminal),Accepted (terminal),5/9/2017
1.7,Brassicaceae,Draba incerta var. incerta,Accepted,Synonym of Draba incerta,5/9/2017
1.7,Brassicaceae,Draba lonchocarpa,Accepted (not terminal),Accepted (terminal),5/9/2017
1.7,Brassicaceae,Draba lonchocarpa var. lonchocarpa,Accepted,Synonym of Draba lonchocarpa,5/9/2017
1.7,Brassicaceae,Draba reptans,Accepted (terminal),Synonym of Tomostima reptans,5/9/2017
1.7,Brassicaceae,Draba stenoloba,Synonym of Draba albertina,Accepted (terminal),5/9/2017
1.7,Brassicaceae,Erysimum capitatum var. perenne,Accepted,Synonym of Erysimum perenne,5/9/2017
1.7,Brassicaceae,Erysimum capitatum var. purshii,Excluded,Accepted,5/9/2017
1.7,Brassicaceae,Erysimum inconspicuum,Accepted (not terminal),Accepted (terminal),5/9/2017
1.7,Brassicaceae,Erysimum inconspicuum var. inconspicuum,Accepted,Synonym of Erysimum inconspicuum,5/9/2017
1.7,Brassicaceae,Erysimum perenne,Synonym of Erysimum capitatum var. perenne,Accepted (terminal),5/9/2017
1.7,Brassicaceae,Guillenia lasiophylla,Synonym of Caulanthus lasiophyllus,Accepted (terminal),5/9/2017
1.7,Brassicaceae,Lepidium densiflorum,Accepted (not terminal),Accepted (terminal),5/9/2017
1.7,Brassicaceae,Lepidium densiflorum var. densiflorum,Accepted,Synonym of Lepidium densiflorum,5/9/2017
1.7,Brassicaceae,Lepidium densiflorum var. pubicarpum,Accepted,Synonym of Lepidium densiflorum,5/9/2017
1.7,Brassicaceae,Lepidium densiflorum var. ramosum,Accepted,Synonym of Lepidium densiflorum,5/9/2017
1.7,Brassicaceae,Lepidium draba,Accepted (not terminal),Accepted (terminal),5/9/2017
1.7,Brassicaceae,Lepidium draba ssp. draba,Accepted,Synonym of Lepidium draba,5/9/2017
1.7,Brassicaceae,Lepidium montanum,Accepted (not terminal),Accepted (terminal),5/9/2017
1.7,Brassicaceae,Lepidium montanum var. montanum,Accepted,Synonym of Lepidium montanum,5/9/2017
1.7,Brassicaceae,Lepidium montanum var. nevadense,Accepted,Synonym of Lepidium montanum,5/9/2017
1.7,Brassicaceae,Lepidium nitidum,Accepted (not terminal),Accepted (terminal),5/9/2017
1.7,Brassicaceae,Lepidium nitidum var. nitidum,Accepted,Synonym of Lepidium nitidum,5/9/2017
1.7,Brassicaceae,Lepidium oblongum,Accepted (not terminal),Accepted (terminal),5/9/2017
1.7,Brassicaceae,Lepidium oblongum var. oblongum,Accepted,Synonym of Lepidium oblongum,5/9/2017
1.7,Brassicaceae,Nasturtium × sterile,Under evaluation,Accepted (terminal),5/9/2017
1.7,Brassicaceae,Neslia paniculata,Under evaluation,Accepted (terminal),5/9/2017
1.7,Brassicaceae,Noccaea fendleri ssp. siskiyouense,Accepted,Synonym of Noccaea fendleri ssp. siskiyouensis,5/9/2017
1.7,Brassicaceae,Noccaea fendleri ssp. siskiyouensis,Under evaluation,Accepted,5/9/2017
1.7,Brassicaceae,Odontarrhena muralis,Under evaluation,Accepted (terminal),5/9/2017
1.7,Brassicaceae,Rorippa curvipes,Accepted (not terminal),Accepted (terminal),5/9/2017
1.7,Brassicaceae,Rorippa curvipes var. curvipes,Accepted,Synonym of Rorippa curvipes,5/9/2017
1.7,Brassicaceae,Rorippa curvipes var. truncata,Accepted,Synonym of Rorippa curvipes,5/9/2017
1.7,Brassicaceae,Rorippa dubia,Accepted (terminal),Excluded,5/9/2017
1.7,Brassicaceae,Rorippa indica,Excluded,Accepted (terminal),5/9/2017
1.7,Brassicaceae,Sisymbrium orientale,Excluded,Accepted (terminal),5/9/2017
1.7,Brassicaceae,Streptanthus cordatus ssp. cordatus,Under evaluation,Accepted,5/9/2017
1.7,Brassicaceae,Streptanthus cordatus var. cordatus,Accepted,Synonym of Streptanthus cordatus ssp. cordatus,5/9/2017
1.7,Brassicaceae,Streptanthus tortuosus,Accepted (not terminal),Accepted (terminal),5/9/2017
1.7,Brassicaceae,Streptanthus tortuosus ssp. tortuosus,Under evaluation,Accepted,5/9/2017
1.7,Brassicaceae,Subularia aquatica ssp. americana,Synonym of Subularia aquatica var. americana,Accepted,5/9/2017
1.7,Brassicaceae,Subularia aquatica var. americana,Accepted,Synonym of Subularia aquatica ssp. americana,5/9/2017
1.7,Brassicaceae,Tomostima platycarpa,Under evaluation,Accepted (terminal),5/9/2017
1.7,Brassicaceae,Tomostima reptans,Under evaluation,Accepted (terminal),5/9/2017
1.7,Caprifoliaceae,Lonicera subspicata,Under evaluation,Accepted (not terminal),5/9/2017
1.7,Caryophyllaceae,Cherleria biflora,Under evaluation,Accepted (terminal),5/9/2017
1.7,Convolvulaceae,Cuscuta brachycalyx,Excluded,Accepted (terminal),5/9/2017
1.7,Cucurbitaceae,Cucumis anguria,Under evaluation,Accepted (terminal),5/9/2017
1.7,Cyperaceae,Cyperus fuscus,Under evaluation,Accepted (terminal),5/9/2017
1.7,Ericaceae,Phyllodoce breweri,Under evaluation,Accepted (terminal),5/9/2017
1.7,Fabaceae,Acmispon nevadensis,Accepted (not terminal),Accepted (terminal),5/9/2017
1.7,Fabaceae,Acmispon nevadensis var. nevadensis,Accepted,Excluded,5/9/2017
1.7,Fabaceae,Cicer arietinum,Under evaluation,Accepted (terminal),5/9/2017
1.7,Fabaceae,Oxytropis borealis,Synonym of Oxytropis viscida var. viscida,Accepted (not terminal),5/9/2017
1.7,Fabaceae,Oxytropis borealis var. viscida,Synonym of Oxytropis viscida var. viscida,Accepted,5/9/2017
1.7,Fabaceae,Oxytropis viscida,Accepted (not terminal),Synonym of Oxytropis borealis var. viscida,5/9/2017
1.7,Fabaceae,Oxytropis viscida var. viscida,Accepted,Synonym of Oxytropis borealis var. viscida,5/9/2017
1.7,Fabaceae,Trifolium gymnocarpon,Accepted (not terminal),Accepted (terminal),5/9/2017
1.7,Fabaceae,Trifolium gymnocarpon ssp. plummerae,Accepted,Synonym of Trifolium gymnocarpon,5/9/2017
1.7,Fabaceae,Trifolium kingii,Accepted (not terminal),Synonym of Trifolium productum,5/9/2017
1.7,Fabaceae,Trifolium kingii var. productum,Accepted,Synonym of Trifolium productum,5/9/2017
1.7,Fabaceae,Trifolium longipes ssp. caurinum,Synonym of Trifolium longipes var. multiovulatum,Accepted,5/9/2017
1.7,Fabaceae,Trifolium longipes ssp. elmeri,Synonym of Trifolium longipes var. elmeri,Accepted,5/9/2017
1.7,Fabaceae,Trifolium longipes ssp. hansenii,Synonym of Trifolium longipes var. hansenii,Accepted,5/9/2017
1.7,Fabaceae,Trifolium longipes ssp. longipes,Synonym of,Accepted,5/9/2017
1.7,Fabaceae,Trifolium longipes ssp. multipedunculatum,Synonym of Trifolium longipes var. multipedunculatum,Accepted,5/9/2017
1.7,Fabaceae,Trifolium longipes ssp. oreganum,Synonym of Trifolium longipes var. oreganum,Accepted,5/9/2017
1.7,Fabaceae,Trifolium longipes ssp. reflexum,Synonym of Trifolium longipes var. reflexum,Accepted,5/9/2017
1.7,Fabaceae,Trifolium longipes var. elmeri,Accepted,Synonym of Trifolium longipes ssp. elmeri,5/9/2017
1.7,Fabaceae,Trifolium longipes var. hansenii,Accepted,Synonym of Trifolium longipes ssp. hansenii,5/9/2017
1.7,Fabaceae,Trifolium longipes var. multiovulatum,Accepted,Synonym of Trifolium longipes ssp. caurinum,5/9/2017
1.7,Fabaceae,Trifolium longipes var. multipedunculatum,Accepted,Synonym of Trifolium longipes ssp. multipedunculatum,5/9/2017
1.7,Fabaceae,Trifolium longipes var. oreganum,Accepted,Synonym of Trifolium longipes ssp. oreganum,5/9/2017
1.7,Fabaceae,Trifolium longipes var. reflexum,Accepted,Synonym of Trifolium longipes ssp. reflexum,5/9/2017
1.7,Fabaceae,Trifolium productum,Synonym of Trifolium kingii var. productum,Accepted (terminal),5/9/2017
1.7,Fabaceae,Trifolium tomentosum,Excluded,Accepted (terminal),5/9/2017
1.7,Iridaceae,Romulea rosea,Under evaluation,Accepted (not terminal),5/9/2017
1.7,Lamiaceae,Ballota nigra,Accepted (not terminal),Accepted (terminal),5/9/2017
1.7,Lamiaceae,Ballota nigra ssp. foetida,Under evaluation,Accepted,5/9/2017
1.7,Lamiaceae,Galeopsis tetrahit,Under evaluation,Accepted (not terminal),5/9/2017
1.7,Lamiaceae,Galeopsis tetrahit var. tetrahit,Excluded,Accepted,5/9/2017
1.7,Lamiaceae,Stachys arvensis,Under evaluation,Accepted (terminal),5/9/2017
1.7,Lentibulariaceae,Pinguicula macroceras,Accepted (terminal),Synonym of Pinguicula vulgaris ssp. macroceras,5/9/2017
1.7,Lentibulariaceae,Pinguicula vulgaris ssp. macroceras,Synonym of Pinguicula macroceras,Accepted,5/9/2017
1.7,Limnanthaceae,Limnanthes alba,Accepted,Excluded,5/9/2017
1.7,Lythraceae,Lythrum tribracteatum,Under evaluation,Accepted (terminal),5/9/2017
1.7,Montiaceae,Claytonia perfoliata ssp. intermontana,Accepted,Synonym of Claytonia perfoliata,5/9/2017
1.7,Onagraceae,Chamaenerion angustifolium,Under evaluation,Accepted (not terminal),5/9/2017
1.7,Onagraceae,Chamaenerion angustifolium var. canescens,Under evaluation,Accepted,5/9/2017
1.7,Onagraceae,Chamerion angustifolium,Accepted (not terminal),Synonym of Chamaenerion angustifolium,5/9/2017
1.7,Onagraceae,Chamerion angustifolium var. canescens,Accepted,Synonym of Chamaenerion angustifolium var. canescens,5/9/2017
1.7,Onagraceae,Oenothera suffrutescens,Excluded,Accepted (terminal),5/9/2017
1.7,Orobanchaceae,Castilleja exserta,Under evaluation,Accepted (not terminal),5/9/2017
1.7,Orobanchaceae,Castilleja exserta ssp. exserta,Under evaluation,Accepted,5/9/2017
1.7,Orobanchaceae,Castilleja gracillima,Under evaluation,Accepted (terminal),5/9/2017
1.7,Orobanchaceae,Euphrasia stricta,Accepted (terminal),Synonym of Euphrasia nemorosa,5/9/2017
1.7,Orobanchaceae,Pedicularis aurantiaca,Accepted (terminal),Synonym of Pedicularis densiflora ssp. aurantiaca,5/9/2017
1.7,Orobanchaceae,Pedicularis densiflora,Accepted (terminal),Accepted (not terminal),5/9/2017
1.7,Orobanchaceae,Pedicularis densiflora ssp. aurantiaca,Under evaluation,Accepted,5/9/2017
1.7,Orobanchaceae,Pedicularis densiflora ssp. densiflora,Under evaluation,Accepted,5/9/2017
1.7,Papaveraceae,Dendromecon rigida,Under evaluation,Accepted (terminal),5/9/2017
1.7,Pinaceae,Pinus radiata,Accepted (terminal),Excluded,5/9/2017
1.7,Plantaginaceae,Callitriche brutia,Under evaluation,Accepted (not terminal),5/9/2017
1.7,Poaceae,Eragrostis pectinacea var. miserrima,Under evaluation,Accepted,5/9/2017
1.7,Poaceae,Setaria faberi,Under evaluation,Accepted (terminal),5/9/2017
1.7,Poaceae,Tripidium ravennae,Under evaluation,Accepted (terminal),5/9/2017
1.7,Polemoniaceae,Ipomopsis aggregata ssp. aggregata,Misapplied to Ipomopsis aggregata ssp. formosissimaa,Accepted,5/9/2017
1.7,Polemoniaceae,Ipomopsis aggregata ssp. formosissima,Accepted,Synonym of Ipomopsis aggregata ssp. aggregata,5/9/2017
1.7,Polemoniaceae,Ipomopsis congesta ssp. montana,Accepted,Synonym of Ipomopsis congesta ssp. palmifrons,5/9/2017
1.7,Polygonaceae,Eriogonum microtheca,Under evaluation,Accepted (not terminal),5/9/2017
1.7,Polygonaceae,Eriogonum microtheca var. ambiguum,Under evaluation,Accepted,5/9/2017
1.7,Polygonaceae,Eriogonum microtheca var. laxiflorum,Under evaluation,Accepted,5/9/2017
1.7,Polygonaceae,Eriogonum microtheca var. microtheca,Under evaluation,Accepted,5/9/2017
1.7,Polygonaceae,Eriogonum microthecum,Accepted (not terminal),Synonym of Eriogonum microtheca,5/9/2017
1.7,Polygonaceae,Eriogonum microthecum var. ambiguum,Accepted,Synonym of Eriogonum microtheca var. ambiguum,5/9/2017
1.7,Polygonaceae,Eriogonum microthecum var. laxiflorum,Accepted,Synonym of Eriogonum microtheca var. laxiflorum,5/9/2017
1.7,Polygonaceae,Eriogonum microthecum var. microthecum,Accepted,Synonym of Eriogonum microtheca var. microtheca,5/9/2017
1.7,Polygonaceae,Eriogonum ovalifolium var. rubidum,Under evaluation,Accepted,5/9/2017
1.7,Primulaceae,Lysimachia vulgaris,Under evaluation,Accepted (terminal),5/9/2017
1.7,Primulaceae,Trientalis europaea,Accepted (terminal),Synonym of Lysimachia europaea,5/9/2017
1.7,Ranunculaceae,Coptis aspleniifolia,Accepted (terminal),Excluded,5/9/2017
1.7,Ranunculaceae,Ranunculus austrooreganus,Accepted (terminal),Synonym of Ranunculus austro-oreganus,5/9/2017
1.7,Ranunculaceae,Ranunculus austro-oreganus,Under evaluation,Accepted (terminal),5/9/2017
1.7,Rosaceae,Adenostoma fasciculatum,Under evaluation,Accepted (not terminal),5/9/2017
1.7,Rosaceae,Adenostoma fasciculatum var. fasciculatum,Under evaluation,Accepted,5/9/2017
1.7,Rosaceae,Malus sieboldii,Accepted (terminal),Synonym of Malus toringo,5/9/2017
1.7,Rosaceae,Malus toringo,Under evaluation,Accepted (terminal),5/9/2017
1.7,Rosaceae,Potentilla brunnescens,Under evaluation,Accepted (terminal),5/9/2017
1.7,Scrophulariaceae,Limosella acaulis,Excluded,Accepted (terminal),5/9/2017
1.7,Violaceae,Viola riviniana,Under evaluation,Accepted (terminal),5/9/2017
1.6,Aizoaceae,Carpobrotus edulis,Under evaluation,Accepted,4/27/2016
1.6,Alismataceae,Sagittaria graminea,Under evaluation,Accepted,4/27/2016
1.6,Alismataceae,Sagittaria graminea ssp. graminea,Under evaluation,Accepted,4/27/2016
1.6,Amaranthaceae,Atriplex heterosperma,Accepted,Synonym of Atriplex micrantha C.A. Mey.,4/27/2016
1.6,Amaranthaceae,Atriplex micrantha,Synonym of Atriplex heterosperma,Accepted,4/27/2016
1.6,Amaranthaceae,Bassia scoparia,Under evaluation,Accepted,4/27/2016
1.6,Amaranthaceae,Blitum nuttallianum,Under evaluation,Accepted,4/27/2016
1.6,Amaranthaceae,Blitum spathulatum,Under evaluation,Accepted,4/27/2016
1.6,Amaranthaceae,Kochia scoparia,Accepted,Synonym of Bassia scoparia,4/27/2016
1.6,Amaranthaceae,Micromonolepis pusilla,Synonym of Monolepis pusilla,Accepted,4/27/2016
1.6,Amaranthaceae,Monolepis nuttalliana,Accepted,Synonym of Blitum nuttallianum,4/27/2016
1.6,Amaranthaceae,Monolepis pusilla,Accepted,Synonym of Micromonolepis pusilla,4/27/2016
1.6,Amaranthaceae,Monolepis spathulata,Accepted,Synonym of Blitum spathulatum,4/27/2016
1.6,Amaranthaceae,Suaeda moquinii,Accepted,Synonym of Suaeda nigra,4/27/2016
1.6,Amaranthaceae,Suaeda nigra,Synonym of Suaeda moquinii,Accepted,4/27/2016
1.6,Amaryllidaceae,Allium dictuon,Excluded,Accepted,4/27/2016
1.6,Amaryllidaceae,Allium obtusum,Accepted,Excluded,4/27/2016
1.6,Amaryllidaceae,Allium obtusum var. obtusum,Accepted,Excluded,4/27/2016
1.6,Apiaceae,Bupleurum odontites,Excluded,Accepted,4/27/2016
1.6,Apiaceae,Bupleurum rotundifolium,Accepted,Excluded,4/27/2016
1.6,Apiaceae,Chaerophyllum temulum,Under evaluation,Accepted,4/27/2016
1.6,Apiaceae,Lomatium grayi,Accepted,Synonym of Lomatium papilioniferum,4/27/2016
1.6,Apiaceae,Lomatium klickitatensis,Under evaluation,Accepted,4/27/2016
1.6,Apiaceae,Lomatium packardiae,Accepted,Synonym of Lomatium triternatum,4/27/2016
1.6,Apiaceae,Lomatium papilioniferum,Under evaluation,Accepted,4/27/2016
1.6,Apiaceae,Lomatium triternatum,Accepted (not terminal),Accepted (terminal),4/27/2016
1.6,Apiaceae,Lomatium triternatum ssp. platycarpum,Accepted,Synonym of Lomatium triternatum,4/27/2016
1.6,Apiaceae,Lomatium triternatum var. anomalum,Accepted,Synonym of Lomatium triternatum,4/27/2016
1.6,Apiaceae,Lomatium triternatum var. triternatum,Accepted,Synonym of Lomatium triternatum,4/27/2016
1.6,Apocynaceae,Cycladenia humilis var. humilis,Under evaluation,Accepted,4/27/2016
1.6,Asteraceae,Achillea ptarmica,Under evaluation,Accepted,4/27/2016
1.6,Asteraceae,Chrysanthemum segetum,Accepted,Synonym of Glebionis segetum,4/27/2016
1.6,Asteraceae,Glebionis segetum,Synonym of Chrysanthemum segetum,Accepted,4/27/2016
1.6,Asteraceae,Layia carnosa,Under evaluation,Accepted,4/27/2016
1.6,Asteraceae,Leucanthemum × superbum,Under evaluation,Accepted,4/27/2016
1.6,Asteraceae,Nabalus hastatus,Accepted,Synonym of Prenanthes alata,4/27/2016
1.6,Asteraceae,Prenanthes alata,Synonym of Nabalus hastatus,Accepted,4/27/2016
1.6,Asteraceae,Psathyrotes annua,Under evaluation,Accepted,4/27/2016
1.6,Asteraceae,Psilocarphus tenellus,Accepted (not terminal),Accepted (terminal),4/27/2016
1.6,Asteraceae,Psilocarphus tenellus var. tenellus,Accepted,Synonym of Psilocarphus tenellus,4/27/2016
1.6,Athyriaceae,Athyrium alpestre,Accepted,Synonym of Athyrium distentifolium var. americanum,4/27/2016
1.6,Betulaceae,Betula × sargentii,Accepted,Excluded,4/27/2016
1.6,Boraginaceae,Adelinia grande,Under evaluation,Accepted,4/27/2016
1.6,Boraginaceae,Andersonglossum occidentale,Under evaluation,Accepted,4/27/2016
1.6,Boraginaceae,Cynoglossum grande,Accepted,Synonym of Adelinia grande,4/27/2016
1.6,Boraginaceae,Cynoglossum occidentale,Accepted,Synonym of Andersonglossum occidentale,4/27/2016
1.6,Boraginaceae,Echium candicans,Under evaluation,Accepted,4/27/2016
1.6,Boraginaceae,Gruvelia pusilla,Under evaluation,Accepted,4/27/2016
1.6,Boraginaceae,Myosotis sylvatica,Excluded,Accepted,4/27/2016
1.6,Boraginaceae,Pectocarya pusilla,Accepted,Synonym of Gruvelia pusilla,4/27/2016
1.6,Boraginaceae,Plagiobothrys hispidus,Accepted,Synonym of Sonnea hispida,4/27/2016
1.6,Boraginaceae,Sonnea hispida,Under evaluation,Accepted,4/27/2016
1.6,Brassicaceae,Armoracia rusticana,Excluded,Accepted,4/27/2016
1.6,Brassicaceae,Draba stenoloba,Accepted,Synonym of Draba albertina,4/27/2016
1.6,Campanulaceae,Downingia bicornuta,Accepted (not terminal),Accepted (terminal),4/27/2016
1.6,Campanulaceae,Downingia bicornuta var. bicornuta,Accepted,Synonym of Downingia bicornuta,4/27/2016
1.6,Cannabaceae,Humulus lupulus,Accepted (not terminal),Accepted (terminal),4/27/2016
1.6,Cannabaceae,Humulus lupulus var. lupulus,Accepted,Synonym of Humulus lupulus,4/27/2016
1.6,Caprifoliaceae,Lonicera × bella,Under evaluation,Accepted,4/27/2016
1.6,Caprifoliaceae,Lonicera caerulea,Accepted,Synonym of Lonicera cauriana,4/27/2016
1.6,Caprifoliaceae,Lonicera cauriana,Misapplied to Lonicera caerulea,Accepted,4/27/2016
1.6,Caprifoliaceae,Lonicera hispidula,Accepted (not terminal),Accepted (terminal),4/27/2016
1.6,Caprifoliaceae,Lonicera hispidula var. hispidula,Accepted,Synonym of Lonicera hispidula,4/27/2016
1.6,Caprifoliaceae,Lonicera subspicata var. denudata,Under evaluation,Accepted,4/27/2016
1.6,Caprifoliaceae,Lonicera tatarica,Accepted,Excluded,4/27/2016
1.6,Caryophyllaceae,Agrostemma githago,Accepted (terminal),Accepted (not terminal),4/27/2016
1.6,Caryophyllaceae,Agrostemma githago var. githago,Synonym of Agrostemma githago,Accepted,4/27/2016
1.6,Caryophyllaceae,Cerastium brachypodum,Synonym of Cerastium nutans,Accepted,4/27/2016
1.6,Caryophyllaceae,Cerastium dubium,Accepted,Synonym of Dichodon viscidum,4/27/2016
1.6,Caryophyllaceae,Cerastium nutans,Accepted (terminal),Accepted (not terminal),4/27/2016
1.6,Caryophyllaceae,Cerastium nutans var. nutans,Synonym of Cerastium nutans,Accepted,4/27/2016
1.6,Caryophyllaceae,Cerastium viride,Synonym of Cerastium arvense,Accepted,4/27/2016
1.6,Caryophyllaceae,Cherleria obtusiloba,Under evaluation,Accepted,4/27/2016
1.6,Caryophyllaceae,Dianthus barbatus,Accepted (terminal),Accepted (not terminal),4/27/2016
1.6,Caryophyllaceae,Dianthus barbatus ssp. barbatus,Synonym of Dianthus barbatus,Accepted,4/27/2016
1.6,Caryophyllaceae,Dichodon viscidum,Under evaluation,Accepted,4/27/2016
1.6,Caryophyllaceae,Eremogone aculeata × Eremogone capillaris var. americana,Accepted,Excluded,4/27/2016
1.6,Caryophyllaceae,Eremogone capillaris var. americana × Eremogone congesta,Accepted,Excluded,4/27/2016
1.6,Caryophyllaceae,Eremogone congesta × Eremogone kingii,Accepted,Excluded,4/27/2016
1.6,Caryophyllaceae,Eremogone franklinii,Accepted (terminal),Accepted (not terminal),4/27/2016
1.6,Caryophyllaceae,Eremogone franklinii var. franklinii,Synonym of Eremogone franklinii,Accepted,4/27/2016
1.6,Caryophyllaceae,Eremogone franklinii var. thompsonii,Synonym of Eremogone franklinii,Accepted,4/27/2016
1.6,Caryophyllaceae,Herniaria glabra,Under evaluation,Accepted,4/27/2016
1.6,Caryophyllaceae,Herniaria hirsuta,Accepted (terminal),Accepted (not terminal),4/27/2016
1.6,Caryophyllaceae,Herniaria hirsuta var. cinerea,Synonym of Herniaria hirsuta,Accepted,4/27/2016
1.6,Caryophyllaceae,Holosteum umbellatum,Accepted (terminal),Accepted (not terminal),4/27/2016
1.6,Caryophyllaceae,Holosteum umbellatum ssp. umbellatum,Synonym of Holosteum umbellatum,Accepted,4/27/2016
1.6,Caryophyllaceae,Honckenya peploides ssp. major,Synonym of Honckenya peploides var. major,Accepted,4/27/2016
1.6,Caryophyllaceae,Honckenya peploides var. major,Accepted,Synonym of Honckenya peploides ssp. major,4/27/2016
1.6,Caryophyllaceae,Lychnis coronaria,Synonym of Silene coronaria,Accepted,4/27/2016
1.6,Caryophyllaceae,Minuartia austromontana,Accepted,Synonym of Sabulina austromontana,4/27/2016
1.6,Caryophyllaceae,Minuartia californica,Accepted,Synonym of Sabulina californica,4/27/2016
1.6,Caryophyllaceae,Minuartia cismontana,Accepted,Synonym of Sabulina cismontana,4/27/2016
1.6,Caryophyllaceae,Minuartia douglasii,Accepted,Synonym of Sabulina douglasii,4/27/2016
1.6,Caryophyllaceae,Minuartia howellii,Accepted,Synonym of Sabulina howellii,4/27/2016
1.6,Caryophyllaceae,Minuartia nuttallii,Accepted,Synonym of Sabulina nuttallii,4/27/2016
1.6,Caryophyllaceae,Minuartia nuttallii var. fragilis,Accepted,Synonym of Sabulina nuttallii var. fragilis,4/27/2016
